date,CAT_irn,FieldDept,cumulative,rel_freq
2008-12,188541,Zoology_Insects,6,0
2009-02,188541,Zoology_Insects,8,100
2009-05,188541,Zoology_Insects,28,100
2009-07,188541,Zoology_Insects,30,33
2010-06,188541,Zoology_Insects,56,100
2010-08,188541,Zoology_Insects,58,20
2011-04,188541,Zoology_Insects,60,40
2008-06,188662,Anthropology,2,100
2008-09,188662,Anthropology,4,50
2009-02,188662,Anthropology,6,100
2009-05,188662,Anthropology,10,20
2011-04,188662,Anthropology,12,40
2011-06,188662,Anthropology,16,50
2012-04,188662,Anthropology,18,50
2012-07,188662,Anthropology,20,50
2013-03,188662,Anthropology,22,40
2014-05,188662,Anthropology,26,6
2014-08,188662,Anthropology,38,5
2008-06,188801,Zoology_Insects,1,50
2008-12,188801,Zoology_Insects,2,0
2009-01,188801,Zoology_Insects,3,1
2009-05,188801,Zoology_Insects,11,40
2009-07,188801,Zoology_Insects,12,17
2009-08,188801,Zoology_Insects,13,50
2010-06,188801,Zoology_Insects,17,15
2011-04,188801,Zoology_Insects,18,20
2008-06,188821,Zoology_Insects,1,50
2008-12,188821,Zoology_Insects,2,0
2009-01,188821,Zoology_Insects,3,1
2009-05,188821,Zoology_Insects,5,10
2009-07,188821,Zoology_Insects,6,17
2009-08,188821,Zoology_Insects,8,100
2010-06,188821,Zoology_Insects,12,15
2011-04,188821,Zoology_Insects,13,20
2008-06,188824,Zoology_Insects,2,100
2008-12,188824,Zoology_Insects,4,0
2009-01,188824,Zoology_Insects,6,2
2009-05,188824,Zoology_Insects,10,20
2009-07,188824,Zoology_Insects,12,33
2009-08,188824,Zoology_Insects,14,100
2010-06,188824,Zoology_Insects,22,31
2010-07,188824,Zoology_Insects,24,11
2010-08,188824,Zoology_Insects,26,20
2011-04,188824,Zoology_Insects,28,40
2008-06,188826,Zoology_Insects,1,50
2008-12,188826,Zoology_Insects,2,0
2009-01,188826,Zoology_Insects,3,1
2009-05,188826,Zoology_Insects,5,10
2009-07,188826,Zoology_Insects,6,17
2009-08,188826,Zoology_Insects,7,50
2010-06,188826,Zoology_Insects,12,19
2011-04,188826,Zoology_Insects,14,40
2008-06,188829,Zoology_Insects,2,100
2009-01,188829,Zoology_Insects,6,3
2009-05,188829,Zoology_Insects,14,40
2009-07,188829,Zoology_Insects,18,67
2009-08,188829,Zoology_Insects,20,100
2010-06,188829,Zoology_Insects,34,54
2010-08,188829,Zoology_Insects,36,20
2008-06,188844,Zoology_Insects,1,50
2009-01,188844,Zoology_Insects,3,2
2009-05,188844,Zoology_Insects,5,10
2009-07,188844,Zoology_Insects,6,17
2009-08,188844,Zoology_Insects,7,50
2010-06,188844,Zoology_Insects,11,15
2008-06,188853,Zoology_Insects,1,50
2009-01,188853,Zoology_Insects,3,2
2009-05,188853,Zoology_Insects,5,10
2009-07,188853,Zoology_Insects,6,17
2009-08,188853,Zoology_Insects,8,100
2010-06,188853,Zoology_Insects,13,19
2008-06,188855,Zoology_Insects,1,50
2008-12,188855,Zoology_Insects,2,0
2009-01,188855,Zoology_Insects,3,1
2009-05,188855,Zoology_Insects,5,10
2009-07,188855,Zoology_Insects,6,17
2009-08,188855,Zoology_Insects,7,50
2010-06,188855,Zoology_Insects,12,19
2008-06,188856,Zoology_Insects,1,50
2009-01,188856,Zoology_Insects,3,2
2009-05,188856,Zoology_Insects,5,10
2009-07,188856,Zoology_Insects,6,17
2009-08,188856,Zoology_Insects,7,50
2010-06,188856,Zoology_Insects,12,19
2008-06,188858,Zoology_Insects,1,50
2008-12,188858,Zoology_Insects,2,0
2009-01,188858,Zoology_Insects,3,1
2009-05,188858,Zoology_Insects,5,10
2009-07,188858,Zoology_Insects,6,17
2009-08,188858,Zoology_Insects,7,50
2010-06,188858,Zoology_Insects,12,19
2008-06,188863,Zoology_Insects,1,50
2008-09,188863,Zoology_Insects,2,25
2009-02,188863,Zoology_Insects,3,50
2009-05,188863,Zoology_Insects,5,10
2009-07,188863,Zoology_Insects,6,17
2009-08,188863,Zoology_Insects,7,50
2010-06,188863,Zoology_Insects,11,15
2008-06,188869,Zoology_Insects,1,50
2009-01,188869,Zoology_Insects,2,1
2009-02,188869,Zoology_Insects,3,50
2009-05,188869,Zoology_Insects,5,10
2009-07,188869,Zoology_Insects,6,17
2009-08,188869,Zoology_Insects,7,50
2010-06,188869,Zoology_Insects,12,19
2008-06,188873,Zoology_Insects,1,50
2009-01,188873,Zoology_Insects,3,2
2009-05,188873,Zoology_Insects,5,10
2009-07,188873,Zoology_Insects,6,17
2009-08,188873,Zoology_Insects,7,50
2010-06,188873,Zoology_Insects,11,15
2008-06,188875,Zoology_Insects,1,50
2008-12,188875,Zoology_Insects,2,0
2009-01,188875,Zoology_Insects,3,1
2009-05,188875,Zoology_Insects,5,10
2009-07,188875,Zoology_Insects,6,17
2009-08,188875,Zoology_Insects,7,50
2010-06,188875,Zoology_Insects,11,15
2008-06,188877,Zoology_Insects,2,100
2008-12,188877,Zoology_Insects,6,1
2009-02,188877,Zoology_Insects,8,100
2009-05,188877,Zoology_Insects,20,60
2009-07,188877,Zoology_Insects,26,100
2009-08,188877,Zoology_Insects,28,100
2010-06,188877,Zoology_Insects,38,39
2010-07,188877,Zoology_Insects,40,11
2010-08,188877,Zoology_Insects,42,20
2008-06,189222,Zoology_Insects,1,50
2009-02,189222,Zoology_Insects,2,50
2009-05,189222,Zoology_Insects,4,10
2009-07,189222,Zoology_Insects,5,17
2010-06,189222,Zoology_Insects,9,15
2008-06,189224,Zoology_Insects,2,100
2008-12,189224,Zoology_Insects,4,0
2009-02,189224,Zoology_Insects,6,100
2009-05,189224,Zoology_Insects,14,40
2009-07,189224,Zoology_Insects,18,67
2010-06,189224,Zoology_Insects,28,39
2010-07,189224,Zoology_Insects,30,11
2010-08,189224,Zoology_Insects,32,20
2008-06,189225,Zoology_Insects,1,50
2008-12,189225,Zoology_Insects,2,0
2009-02,189225,Zoology_Insects,3,50
2009-05,189225,Zoology_Insects,5,10
2009-07,189225,Zoology_Insects,6,17
2010-06,189225,Zoology_Insects,8,8
2008-06,189226,Zoology_Insects,1,50
2008-12,189226,Zoology_Insects,2,0
2009-02,189226,Zoology_Insects,3,50
2009-05,189226,Zoology_Insects,5,10
2009-07,189226,Zoology_Insects,6,17
2010-06,189226,Zoology_Insects,11,19
2008-03,189228,Zoology_Insects,1,100
2008-12,189228,Zoology_Insects,2,0
2009-02,189228,Zoology_Insects,3,50
2009-05,189228,Zoology_Insects,5,10
2009-07,189228,Zoology_Insects,6,17
2010-06,189228,Zoology_Insects,8,8
2008-06,189231,Zoology_Insects,2,100
2008-12,189231,Zoology_Insects,4,0
2009-02,189231,Zoology_Insects,6,100
2009-05,189231,Zoology_Insects,14,40
2009-07,189231,Zoology_Insects,18,67
2010-06,189231,Zoology_Insects,22,15
2010-07,189231,Zoology_Insects,24,11
2008-06,189535,Zoology_Insects,1,50
2008-09,189535,Zoology_Insects,2,25
2008-12,189535,Zoology_Insects,3,0
2009-02,189535,Zoology_Insects,4,50
2009-05,189535,Zoology_Insects,6,10
2009-07,189535,Zoology_Insects,7,17
2010-06,189535,Zoology_Insects,10,12
2008-06,189569,Zoology_Insects,2,100
2008-09,189569,Zoology_Insects,4,50
2009-02,189569,Zoology_Insects,6,100
2009-05,189569,Zoology_Insects,14,40
2009-06,189569,Zoology_Insects,18,25
2009-07,189569,Zoology_Insects,22,67
2010-06,189569,Zoology_Insects,28,23
2008-06,189597,Zoology_Insects,1,50
2008-12,189597,Zoology_Insects,2,0
2009-01,189597,Zoology_Insects,3,1
2009-05,189597,Zoology_Insects,5,10
2009-07,189597,Zoology_Insects,6,17
2009-08,189597,Zoology_Insects,7,50
2010-07,189597,Zoology_Insects,12,28
2008-06,189616,Zoology_Insects,1,50
2008-12,189616,Zoology_Insects,2,0
2009-02,189616,Zoology_Insects,3,50
2009-05,189616,Zoology_Insects,5,10
2009-07,189616,Zoology_Insects,6,17
2009-08,189616,Zoology_Insects,7,50
2010-07,189616,Zoology_Insects,11,22
2008-06,189672,Zoology_Insects,2,100
2008-09,189672,Zoology_Insects,6,100
2009-01,189672,Zoology_Insects,8,2
2009-05,189672,Zoology_Insects,12,20
2009-07,189672,Zoology_Insects,14,33
2010-07,189672,Zoology_Insects,24,56
2010-08,189672,Zoology_Insects,26,20
2008-06,189677,Zoology_Insects,1,50
2008-09,189677,Zoology_Insects,3,50
2009-01,189677,Zoology_Insects,4,1
2009-05,189677,Zoology_Insects,6,10
2009-07,189677,Zoology_Insects,7,17
2009-08,189677,Zoology_Insects,8,50
2010-07,189677,Zoology_Insects,13,28
2008-06,189865,Zoology_Insects,2,100
2009-01,189865,Zoology_Insects,6,3
2009-05,189865,Zoology_Insects,10,20
2009-07,189865,Zoology_Insects,12,33
2010-07,189865,Zoology_Insects,22,56
2010-08,189865,Zoology_Insects,24,20
2008-06,189877,Zoology_Insects,2,100
2008-12,189877,Zoology_Insects,6,1
2009-02,189877,Zoology_Insects,8,100
2009-05,189877,Zoology_Insects,12,20
2009-07,189877,Zoology_Insects,14,33
2010-07,189877,Zoology_Insects,24,56
2010-08,189877,Zoology_Insects,26,20
2008-06,189884,Zoology_Insects,1,50
2008-12,189884,Zoology_Insects,2,0
2009-02,189884,Zoology_Insects,3,50
2009-05,189884,Zoology_Insects,7,20
2009-07,189884,Zoology_Insects,8,17
2010-07,189884,Zoology_Insects,16,44
2008-06,190050,Zoology_Insects,1,50
